,0,1
0,"Catt Sadler has become an advocate for equal pay. Here, she attends the 2018 Vanity Fair Oscar Party on March 4, 2018, in Beverly Hills, California.",a woman is standing in front of stairs
1,"The Winnipeg Jets and Chicago Blackhawks, wearing jerseys reading ""Broncos"" on their backs, observe a minute of silence for the Humbolt Broncos on Saturday.",a group of hockey players standing on the ice
2,"McKenna Denson, who is filing suit against the Church of Jesus Christ of Latter-day Saints, at a news conference on April 5, 2018, in Salt Lake City.",a woman in a plaid jacket talking into a microphone
3,"Julian Edelman and his assistant, Shannen Moen, were quick to act when they became aware of a threatening message posted to Edelman's Instagram account.",a man in a white football uniform standing on a field
4,"Australia and USA compete in the Visa Water Polo International Women's competition in London, England, on Mary 4, 2012.",two people in the water playing with a ball
5,"Coach Jean Lopez (left) and his brother Steven Lopez celebrate winning the bronze medal in the men's 80KG taekwondo competition in the Beijing Olympic Games on Aug. 22, 2008.",two men in blue and white uniforms are holding their arms in the air
6,Villanova Wildcats guard Phil Booth shoots against Kansas Jayhawks center Udoka Azubuike during the first half of their Final Four matchup on Saturday. Villanova won to advance to Monday night's championship game.,a basketball player is in the air
7,Former USA Gymnastics team doctor and Michigan State University trainer Larry Nassar during his second sentence hearing on child sexual abuse charges. ,a man in an orange shirt is sitting in a chair
8,"Women knit “pussy hats” at the XXX panel during Politicon at Pasadena Convention Center on July 30, 2017, in Pasadena, Calif.",a group of women sitting in chairs working on knitting
9,A woman has accused a former Mormon missionary training center president of sexually assaulting her in 1984.,a person holding a bible in their hands
10,"Hockey player Larry Kwong was the best scorer in the New York Rovers farm team, but was only given one minute of play when he made it to the NHL.",a picture of a young man in a hockey game
11,"Lisa Howard plays a beleaguered bride-to-be in ""Escape to Margaritaville,"" which opened March 15 in New York.",a woman singing on a stage with other dancers
12,"Women participate in a protest march for survivors of sexual violence in Los Angeles, California, on Nov. 12, 2017.",a woman holding a sign with a me too sign
13,"Women protest a stricter anti-abortion measure in front of archdiocese headquarters in Krakow, Poland, on March 18, 2018.",a group of people protesting with signs and megaphones
14,"Martina Navratilova, pictured left with Chris Evert and John McEnroe in 2012, said she was told by the BBC that her pay was comparable to McEnroe's.",two women and a man standing next to each other
15,"Larry Nassar stands during his third sentencing hearing on Feb. 5 in Charlotte, Michigan. His former boss reportedly said in 2016 that he didn't believe the athletes who had accused Nassar of sexual abuse.",a man wearing glasses and a orange shirt
16,Jamilla Clark and Arwa Aziz say the New York Police Department's policy requiring women to remove religious head coverings for booking photos violates their civil rights.,a police car with the word nypd on it
17,Jordan Poole and teammates celebrate Poole's 3-point buzzer beater for a 64-63 win as Devin Davis of the Houston Cougars is seen on the ground.,a group of men playing a game of basketball
18,Jules Woodson is filmed in an op-ed video by The New York Times reacting to an apology issued by Andy Savage.,a woman standing in front of a video screen
19,Houston Astros second baseman José Altuve watches President Donald Trump during a celebration of his team's World Series victory in the East Room of the White House on Monday.,two men standing next to each other wearing suits and ties
20,Kevin Love of the Cleveland Cavaliers wrote of his first panic attack in the middle of a basketball game -- and how the episode changed the way he views mental health.,a basketball player is standing in a crowd
21,"Cody Riley (left), LiAngelo Ball and Jalen Hill speak at a Nov. 15, 2017, press conference at UCLA after flying back from China.",three young men sitting at a table with a microphone
22,"ir Roger was a 25-year-old Oxford University medical student when he recorded a time of 3mins 59.4 secs for the mile on May 6, 1954.",a man in a suit walking on a race track
23,"Olympic gold medalist Aly Raisman has filed a lawsuit against the U.S. Olympic Committee. Here, she speaks at the sentencing hearing for Larry Nassar, a former team USA Gymnastics doctor, in Lansing, Michigan, Jan. 19.",a woman standing in front of a microphone
24,"LeBron James, pictured against the Philadelphia 76ers on Thursday, caught the attention of the internet with one move in particular.",a group of men playing a game of basketball
