,headlineandshortdescr,shortdescrncaption,headlineandcaption,headlineandOFA,shortdescrandOFA,actualcaptionandOFA
0,"('contradiction', ' 0.52%')","('contradiction', ' 0.70%')","('contradiction', ' 0.82%')","('contradiction', ' 0.78%')","('contradiction', ' 0.73%')","('contradiction', ' 0.80%')"
1,"('neutral', ' 0.80%')","('contradiction', ' 0.87%')","('neutral', ' 0.66%')","('contradiction', ' 0.58%')","('contradiction', ' 0.65%')","('contradiction', ' 0.77%')"
2,"('neutral', ' 0.65%')","('contradiction', ' 0.64%')","('contradiction', ' 0.63%')","('contradiction', ' 0.77%')","('contradiction', ' 0.69%')","('contradiction', ' 0.71%')"
3,"('neutral', ' 0.72%')","('neutral', ' 0.84%')","('neutral', ' 0.87%')","('contradiction', ' 0.73%')","('contradiction', ' 0.69%')","('contradiction', ' 0.72%')"
4,"('contradiction', ' 0.50%')","('neutral', ' 0.63%')","('neutral', ' 0.82%')","('contradiction', ' 0.67%')","('contradiction', ' 0.57%')","('contradiction', ' 0.71%')"
5,"('neutral', ' 0.72%')","('neutral', ' 0.80%')","('neutral', ' 0.82%')","('contradiction', ' 0.83%')","('contradiction', ' 0.67%')","('contradiction', ' 0.75%')"
6,"('neutral', ' 0.90%')","('neutral', ' 0.63%')","('neutral', ' 0.93%')","('contradiction', ' 0.61%')","('contradiction', ' 0.65%')","('contradiction', ' 0.68%')"
7,"('contradiction', ' 0.67%')","('neutral', ' 0.51%')","('neutral', ' 0.56%')","('contradiction', ' 0.72%')","('contradiction', ' 0.70%')","('contradiction', ' 0.55%')"
8,"('neutral', ' 0.67%')","('neutral', ' 0.90%')","('neutral', ' 0.93%')","('contradiction', ' 0.66%')","('contradiction', ' 0.69%')","('contradiction', ' 0.54%')"
9,"('neutral', ' 0.57%')","('contradiction', ' 0.51%')","('contradiction', ' 0.36%')","('contradiction', ' 0.68%')","('contradiction', ' 0.59%')","('contradiction', ' 0.56%')"
10,"('contradiction', ' 0.73%')","('contradiction', ' 0.76%')","('contradiction', ' 0.83%')","('contradiction', ' 0.87%')","('contradiction', ' 0.87%')","('contradiction', ' 0.85%')"
11,"('neutral', ' 0.51%')","('neutral', ' 0.88%')","('neutral', ' 0.90%')","('contradiction', ' 0.54%')","('contradiction', ' 0.46%')","('entailment', ' 0.46%')"
12,"('neutral', ' 0.65%')","('neutral', ' 0.84%')","('neutral', ' 0.76%')","('contradiction', ' 0.62%')","('contradiction', ' 0.75%')","('contradiction', ' 0.53%')"
13,"('neutral', ' 0.50%')","('neutral', ' 0.74%')","('neutral', ' 0.79%')","('contradiction', ' 0.73%')","('contradiction', ' 0.61%')","('contradiction', ' 0.72%')"
14,"('contradiction', ' 0.93%')","('contradiction', ' 0.64%')","('neutral', ' 0.51%')","('contradiction', ' 0.85%')","('contradiction', ' 0.83%')","('contradiction', ' 0.82%')"
15,"('neutral', ' 0.75%')","('neutral', ' 0.67%')","('neutral', ' 0.62%')","('contradiction', ' 0.72%')","('contradiction', ' 0.70%')","('contradiction', ' 0.74%')"
16,"('contradiction', ' 0.94%')","('neutral', ' 0.96%')","('neutral', ' 0.56%')","('contradiction', ' 0.72%')","('contradiction', ' 0.77%')","('contradiction', ' 0.57%')"
17,"('neutral', ' 0.81%')","('neutral', ' 0.75%')","('neutral', ' 0.79%')","('contradiction', ' 0.78%')","('contradiction', ' 0.69%')","('contradiction', ' 0.68%')"
18,"('contradiction', ' 0.68%')","('neutral', ' 0.68%')","('neutral', ' 0.75%')","('contradiction', ' 0.85%')","('contradiction', ' 0.60%')","('contradiction', ' 0.67%')"
19,"('neutral', ' 0.79%')","('neutral', ' 0.85%')","('neutral', ' 0.92%')","('contradiction', ' 0.77%')","('contradiction', ' 0.61%')","('contradiction', ' 0.74%')"
20,"('neutral', ' 0.90%')","('contradiction', ' 0.65%')","('contradiction', ' 0.60%')","('contradiction', ' 0.73%')","('contradiction', ' 0.76%')","('contradiction', ' 0.71%')"
21,"('neutral', ' 0.56%')","('neutral', ' 0.96%')","('neutral', ' 0.91%')","('contradiction', ' 0.65%')","('contradiction', ' 0.61%')","('contradiction', ' 0.62%')"
22,"('neutral', ' 0.75%')","('neutral', ' 0.93%')","('neutral', ' 0.81%')","('contradiction', ' 0.53%')","('contradiction', ' 0.66%')","('contradiction', ' 0.56%')"
